date,logit(p),lb_2.5,lb_25,ub_97.5,ub_75
2020-05-01,-5.29174648,-6.214606008,-5.593497998,-4.439732342,-5.008015981
2020-05-02,-5.344399855,-6.182323037,-5.616596466,-4.569939992,-5.084934284
2020-05-03,-5.39637004,-6.157145473,-5.642142632,-4.696132796,-5.15960702
2020-05-04,-5.447388727,-6.13880375,-5.669511058,-4.815566946,-5.231815186
2020-05-05,-5.498734464,-6.127029427,-5.70042435,-4.930262334,-5.302514202
2020-05-06,-5.552031262,-6.119739441,-5.734277627,-5.038900053,-5.372206596
2020-05-07,-5.605687435,-6.116707254,-5.770264774,-5.143714611,-5.442556983
2020-05-08,-5.660446928,-6.120218274,-5.809664548,-5.246203679,-5.513618676
2020-05-09,-5.717311413,-6.128697868,-5.853041908,-5.344122186,-5.585059886
2020-05-10,-5.777394375,-6.146144059,-5.900017581,-5.439595186,-5.657355775
2020-05-11,-5.840395977,-6.172160195,-5.951549081,-5.533057243,-5.732597222
2020-05-12,-5.906755162,-6.205069605,-6.007214603,-5.628159198,-5.809359177
2020-05-13,-5.976504741,-6.244810873,-6.0675183,-5.722697544,-5.887829404
2020-05-14,-6.049303044,-6.290658915,-6.131541715,-5.817298779,-5.968053657
2020-05-15,-6.124253503,-6.343495956,-6.199267566,-5.910159585,-6.049573938
2020-05-16,-6.201194144,-6.401804931,-6.2704153,-6.004315616,-6.132254278
2020-05-17,-6.279343642,-6.466611421,-6.343773856,-6.097382508,-6.215640986
2020-05-18,-6.357122059,-6.535596135,-6.41822694,-6.185603832,-6.29712886
2020-05-19,-6.432600713,-6.608965925,-6.492288781,-6.265021631,-6.374106827
2020-05-20,-6.503758981,-6.683711472,-6.563975899,-6.334642259,-6.444815009
2020-05-21,-6.568084959,-6.755754167,-6.630460647,-6.393132956,-6.50697836
2020-05-22,-6.624797915,-6.820154759,-6.689696287,-6.44168172,-6.560780313
2020-05-23,-6.673251207,-6.879641989,-6.741354521,-6.480467197,-6.605450732
2020-05-24,-6.713048129,-6.93192998,-6.785733806,-6.50708232,-6.640654575
2020-05-25,-6.744053081,-6.976958392,-6.821946437,-6.523847255,-6.666803829
2020-05-26,-6.766739692,-7.017127356,-6.850701377,-6.530640843,-6.683778021
2020-05-27,-6.780887374,-7.049297302,-6.871752153,-6.526298373,-6.691675748
2020-05-28,-6.788300991,-7.077384488,-6.88640129,-6.512788245,-6.691705024
2020-05-29,-6.789994107,-7.102400765,-6.895655818,-6.489885461,-6.685657968
2020-05-30,-6.787192454,-7.122575337,-6.901020235,-6.458739233,-6.674548624
2020-05-31,-6.781206082,-7.140377273,-6.903012332,-6.422053501,-6.660207259
2020-06-01,-6.773174025,-7.154026394,-6.902334477,-6.382024145,-6.642728818
2020-06-02,-6.763533829,-7.166524943,-6.899723273,-6.338513331,-6.623549029
2020-06-03,-6.752941646,-7.178655,-6.895922984,-6.292824689,-6.60405879
2020-06-04,-6.742447435,-7.188037505,-6.891097628,-6.244892235,-6.584102962
2020-06-05,-6.731535631,-7.194487336,-6.885977159,-6.197888759,-6.565873443
2020-06-06,-6.720788859,-7.198964881,-6.881226131,-6.156181294,-6.549707895
2020-06-07,-6.710901788,-7.198620277,-6.875876079,-6.120342579,-6.535927243
2020-06-08,-6.702017945,-7.194232479,-6.870748576,-6.091091573,-6.524174444
2020-06-09,-6.694260666,-7.188891067,-6.864842174,-6.072306914,-6.515428092
2020-06-10,-6.68756403,-7.180094911,-6.858668682,-6.064678871,-6.50926246
2020-06-11,-6.682876129,-7.166608727,-6.851791021,-6.068937017,-6.505936694
2020-06-12,-6.680447052,-7.150332083,-6.845287014,-6.085923954,-6.506300456
2020-06-13,-6.680306993,-7.133056687,-6.839649023,-6.110284264,-6.510108789
2020-06-14,-6.682430247,-7.114689579,-6.834771921,-6.145232464,-6.518121476
2020-06-15,-6.686274449,-7.095350546,-6.8308915,-6.18743102,-6.53006072
2020-06-16,-6.692161999,-7.076420561,-6.828704105,-6.233145799,-6.546183455
2020-06-17,-6.701740406,-7.060546405,-6.829246222,-6.285781261,-6.566013103
2020-06-18,-6.714796493,-7.049357917,-6.832882567,-6.339973194,-6.590268907
2020-06-19,-6.731753604,-7.042171488,-6.841184996,-6.395675009,-6.618117216
2020-06-20,-6.75381018,-7.039210608,-6.853767482,-6.454332084,-6.651006423
2020-06-21,-6.780671345,-7.042449505,-6.871612617,-6.516099004,-6.688870373
2020-06-22,-6.812647112,-7.050535611,-6.89442141,-6.578349897,-6.731664962
2020-06-23,-6.849541831,-7.066252879,-6.923078836,-6.639497284,-6.776904432
2020-06-24,-6.890716506,-7.090435757,-6.958368965,-6.69876285,-6.82403018
2020-06-25,-6.936116433,-7.124549676,-7.000066408,-6.755724811,-6.872643574
2020-06-26,-6.984693289,-7.168321031,-7.046823944,-6.810276896,-6.923388893
2020-06-27,-7.035771384,-7.222072354,-7.098930624,-6.859477025,-6.974173888
2020-06-28,-7.089145218,-7.285295257,-7.155116283,-6.903899206,-7.02409189
2020-06-29,-7.143814464,-7.35490307,-7.21498458,-6.945542749,-7.074344129
2020-06-30,-7.199505504,-7.428590694,-7.276717372,-6.98437879,-7.123568307
2020-07-01,-7.255123416,-7.506777371,-7.339878689,-7.019644722,-7.171194852
2020-07-02,-7.309582388,-7.588853149,-7.404076795,-7.051425807,-7.217143002
2020-07-03,-7.362968675,-7.676298675,-7.467582147,-7.0790509,-7.261277074
2020-07-04,-7.414069386,-7.76255815,-7.528730915,-7.105322139,-7.30357296
2020-07-05,-7.463185455,-7.847222283,-7.587804751,-7.129429899,-7.344255173
2020-07-06,-7.509158613,-7.928928863,-7.642757743,-7.152875569,-7.383200045
