"","round","age_group","category","x","n","p","lower","upper"
"1","1-3","5-12","asymptomatic",11,12,0.916666666666667,0.646120088858883,0.985134905595083
"2","1-3","5-12","symptomatic",1,12,0.0833333333333333,0.0148650944049171,0.353879911141117
"3","1-3","5-12","classic covid symptoms",0,12,0,0,0.183981194747477
"4","1-3","13-17","asymptomatic",12,18,0.666666666666667,0.437494672959451,0.837212252491663
"5","1-3","13-17","symptomatic",6,18,0.333333333333333,0.162787747508337,0.562505327040549
"6","1-3","13-17","classic covid symptoms",5,18,0.277777777777778,0.12499753379554,0.508726565602974
"7","1-3","18-24","asymptomatic",15,20,0.75,0.531299122381256,0.888138298592334
"8","1-3","18-24","symptomatic",5,20,0.25,0.111861701407666,0.468700877618744
"9","1-3","18-24","classic covid symptoms",4,20,0.2,0.0806576625797981,0.416017432251894
"10","1-3","25-34","asymptomatic",26,42,0.619047619047619,0.468140402671527,0.750002742360449
"11","1-3","25-34","symptomatic",16,42,0.380952380952381,0.249997257639551,0.531859597328473
"12","1-3","25-34","classic covid symptoms",10,42,0.238095238095238,0.134809642246471,0.385275438683183
"13","1-3","35-44","asymptomatic",31,42,0.738095238095238,0.589312692942281,0.84697359712167
"14","1-3","35-44","symptomatic",11,42,0.261904761904762,0.15302640287833,0.41068730705772
"15","1-3","35-44","classic covid symptoms",6,42,0.142857142857143,0.0671596701596265,0.278410894744448
"16","1-3","45-54","asymptomatic",34,45,0.755555555555556,0.613266199429797,0.857645205662283
"17","1-3","45-54","symptomatic",11,45,0.244444444444444,0.142354794337717,0.386733800570204
"18","1-3","45-54","classic covid symptoms",4,45,0.0888888888888889,0.0351111167263702,0.207335753342894
"19","1-3","55-64","asymptomatic",39,54,0.722222222222222,0.591095570712048,0.823831723469776
"20","1-3","55-64","symptomatic",15,54,0.277777777777778,0.176168276530224,0.408904429287953
"21","1-3","55-64","classic covid symptoms",10,54,0.185185185185185,0.103826855420891,0.308359477821525
"22","1-3","65+","asymptomatic",39,45,0.866666666666667,0.738226981738229,0.937428512524319
"23","1-3","65+","symptomatic",6,45,0.133333333333333,0.0625714874756808,0.261773018261771
"24","1-3","65+","classic covid symptoms",0,0,NA,NA,NA
"25","4","5-12","asymptomatic",7,7,1,0.721237304547458,1
"26","4","5-12","symptomatic",0,7,0,0,0.278762695452542
