predictor,Level,crude_mod_OR,plus_age_group_named,plus_sex,plus_ethnic_new,plus_vaccine_type,plus_days_since_second_vaccine
Age group,35-44 [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Age group,18-24,1.13 [0.69-1.85],1.13 [0.69-1.85],1.11 [0.67-1.82],1.09 [0.67-1.8],1.16 [0.7-1.92],1.14 [0.69-1.9]
Age group,25-34,1.52 [1.04-2.21],1.52 [1.04-2.21],1.53 [1.05-2.23],1.5 [1.03-2.19],1.56 [1.07-2.29],1.58 [1.08-2.32]
Age group,45-54,0.65 [0.51-0.84],0.65 [0.51-0.84],0.66 [0.52-0.85],0.66 [0.51-0.85],0.69 [0.54-0.9],0.7 [0.54-0.9]
Age group,55-64,0.46 [0.37-0.57],0.46 [0.37-0.57],0.48 [0.39-0.59],0.48 [0.39-0.59],0.55 [0.44-0.68],0.54 [0.43-0.67]
Age group,65-74,0.32 [0.26-0.39],0.32 [0.26-0.39],0.34 [0.28-0.42],0.34 [0.28-0.42],0.49 [0.4-0.61],0.45 [0.36-0.55]
Age group,74+,0.3 [0.24-0.38],0.3 [0.24-0.38],0.33 [0.27-0.41],0.33 [0.26-0.41],0.34 [0.27-0.43],0.35 [0.28-0.44]
Sex,Female [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Sex,Male,0.68 [0.65-0.71],0.73 [0.7-0.76],0.73 [0.7-0.76],0.73 [0.7-0.76],0.74 [0.71-0.78],0.73 [0.7-0.77]
Ethnicity,White [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Ethnicity,Asian,1.24 [1.08-1.42],1.07 [0.93-1.22],1.11 [0.97-1.27],1.11 [0.97-1.27],1.01 [0.88-1.17],1.07 [0.93-1.23]
Ethnicity,Black,1.01 [0.81-1.26],0.85 [0.68-1.06],0.87 [0.7-1.09],0.87 [0.7-1.09],0.86 [0.68-1.08],0.87 [0.69-1.09]
Ethnicity,Mixed,1.6 [1.13-2.28],1.23 [0.86-1.75],1.22 [0.86-1.74],1.22 [0.86-1.74],1.21 [0.84-1.74],1.24 [0.86-1.78]
Ethnicity,Other,1.2 [0.94-1.53],1.14 [0.89-1.46],1.16 [0.9-1.48],1.16 [0.9-1.48],1.11 [0.86-1.43],1.16 [0.9-1.5]
Vaccine type,AstraZeneca/Oxford [reference],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA],NA [NA-NA]
Vaccine type,Don't know,0.78 [0.5-1.22],0.76 [0.48-1.2],0.79 [0.5-1.24],0.81 [0.51-1.28],0.81 [0.51-1.28],1.13 [0.7-1.82]
Vaccine type,Moderna,1.64 [0.47-5.67],1.44 [0.42-4.99],1.45 [0.42-5.03],1.46 [0.42-5.06],1.46 [0.42-5.06],2.03 [0.58-7.11]
Vaccine type,Pfizer/BioNTech,3.77 [3.59-3.96],3.72 [3.54-3.91],3.7 [3.52-3.89],3.7 [3.52-3.9],3.7 [3.52-3.9],4.2 [3.98-4.44]
