Variable,Category,One dose and <21 days (AstraZeneca/Oxford),One dose and <21 days (other),One dose and <21 days (Pfizer/BioNTech),One dose and >=21 days (AstraZeneca/Oxford),One dose and >=21 days (other),One dose and >=21 days (Pfizer/BioNTech),Two doses and <21 days (AstraZeneca/Oxford),Two doses and <21 days (other),Two doses and <21 days (Pfizer/BioNTech),Two doses and >=21 days (AstraZeneca/Oxford),Two doses and >=21 days (other),Two doses and >=21 days (Pfizer/BioNTech),Sum / mean(SD)
Age group,18-24,90 (1.1%),7 (1.6%),328 (3.3%),452 (0.7%),9 (1.9%),154 (2.7%),143 (0.4%),1 (1.1%),108 (0.5%),123 (0.4%),3 (1.7%),319 (0.9%),"1,737"
Age group,25-34,271 (3.3%),14 (3.1%),916 (9.1%),"1,368 (2.2%)",10 (2.1%),435 (7.7%),438 (1.2%),1 (1.1%),282 (1.4%),330 (1%),4 (2.3%),889 (2.5%),"4,958"
Age group,35-44,"2,313 (28%)",195 (43.2%),"1,612 (16%)","3,032 (4.9%)",23 (4.9%),601 (10.6%),745 (2%),5 (5.4%),577 (2.8%),482 (1.5%),1 (0.6%),"1,349 (3.8%)","10,935"
Age group,45-54,"1,221 (14.8%)",96 (21.3%),"1,267 (12.6%)","10,242 (16.6%)",302 (64%),906 (16%),"1,515 (4.1%)",5 (5.4%),"1,072 (5.3%)",831 (2.6%),9 (5.2%),"2,000 (5.6%)","19,466"
Age group,55-64,721 (8.7%),15 (3.3%),"1,268 (12.6%)","43,181 (70.1%)",82 (17.4%),"1,918 (33.8%)","12,078 (32.5%)",27 (29.3%),"8,850 (43.6%)","5,874 (18.4%)",62 (36%),"9,752 (27.2%)","83,828"
Age group,65-74,"1,353 (16.4%)",27 (6%),"1,673 (16.7%)","3,240 (5.3%)",15 (3.2%),545 (9.6%),"22,036 (59.2%)",42 (45.7%),"8,983 (44.2%)","21,838 (68.2%)",69 (40.1%),"16,657 (46.4%)","76,478"
Age group,74+,"2,277 (27.6%)",97 (21.5%),"2,984 (29.7%)",86 (0.1%),31 (6.6%),"1,111 (19.6%)",260 (0.7%),11 (12%),434 (2.1%),"2,527 (7.9%)",24 (14%),"4,933 (13.7%)","14,775"
Sex,Female,"4,657 (56.5%)",247 (54.8%),"6,423 (63.9%)","33,732 (54.8%)",251 (53.2%),"3,557 (62.7%)","20,232 (54.4%)",46 (50%),"10,901 (53.7%)","17,740 (55.4%)",85 (49.4%),"21,910 (61%)","119,781"
Sex,Male,"3,589 (43.5%)",204 (45.2%),"3,625 (36.1%)","27,869 (45.2%)",221 (46.8%),"2,113 (37.3%)","16,982 (45.6%)",46 (50%),"9,404 (46.3%)","14,265 (44.6%)",87 (50.6%),"13,989 (39%)","92,394"
Ethnicity,Asian,267 (3.3%),22 (4.9%),364 (3.6%),"1,446 (2.4%)",17 (3.6%),203 (3.6%),770 (2.1%),2 (2.2%),479 (2.4%),825 (2.6%),14 (8.2%),"1,354 (3.8%)","5,763"
Ethnicity,Black,67 (0.8%),4 (0.9%),66 (0.7%),591 (1%),7 (1.5%),51 (0.9%),291 (0.8%),2 (2.2%),167 (0.8%),318 (1%),4 (2.4%),430 (1.2%),"1,998"
Ethnicity,Mixed,67 (0.8%),2 (0.4%),80 (0.8%),528 (0.9%),9 (1.9%),61 (1.1%),218 (0.6%),1 (1.1%),119 (0.6%),158 (0.5%),1 (0.6%),233 (0.7%),"1,477"
Ethnicity,Other,69 (0.8%),4 (0.9%),78 (0.8%),440 (0.7%),6 (1.3%),51 (0.9%),260 (0.7%),0 (0%),168 (0.8%),272 (0.9%),6 (3.5%),361 (1%),"1,715"
Ethnicity,White,"7,719 (94.3%)",416 (92.9%),"9,390 (94.1%)","58,127 (95.1%)",430 (91.7%),"5,244 (93.5%)","35,445 (95.8%)",85 (94.4%),"19,245 (95.4%)","30,203 (95%)",145 (85.3%),"33,268 (93.3%)","199,717"
Prior infection,COVID suspected or confirmed,"1,134 (13.8%)",68 (15.1%),"1,486 (14.8%)","9,321 (15.1%)",67 (14.2%),916 (16.2%),"3,948 (10.6%)",15 (16.3%),"2,238 (11%)","2,890 (9%)",18 (10.5%),"3,966 (11%)","26,067"
Prior infection,No COVID,"7,112 (86.2%)",383 (84.9%),"8,562 (85.2%)","52,280 (84.9%)",405 (85.8%),"4,754 (83.8%)","33,267 (89.4%)",77 (83.7%),"18,068 (89%)","29,115 (91%)",154 (89.5%),"31,933 (89%)","186,110"
NULL,AstraZeneca/Oxford,"8,246 (100%)",0 (0%),0 (0%),"61,601 (100%)",0 (0%),0 (0%),"37,215 (100%)",0 (0%),0 (0%),"32,005 (100%)",0 (0%),0 (0%),"139,067"
