weeks_since_first_vaccine,vaccine_type,all_participants,count,pos,mean_age,age_lower,age_upper,sd_age,n_women,prop_women,na.rm,cum_n,cum_pos,weekly_prev,weekly_prev_adjusted,se_prev_adjusted,prev_adjusted_lower,prev_adjusted_upper,prop_women_lower,prop_women_upper
0,All participants,All participants,719,77,55.68428372739916,56.94972735857872,55.68428372739916,17.283291414702084,432,60.08344923504868,TRUE,719,77,0.1070931849791377,0.04982241780224315,0.008114286623500534,0.025782905960820134,0.0787468486648788,58.49731991685264,66.85035089735449
1,All participants,All participants,7201,624,60.96111651159561,61.36625569341069,60.96111651159561,17.53797907646608,4168,57.88084988196084,TRUE,7920,701,0.08665463130120817,0.025914880455267523,0.0018723052450019947,0.018569694133868934,0.03377565086733485,58.82154611541315,61.488777877356625
2,All participants,All participants,6065,1508,57.923165704863976,58.38010215769284,57.923165704863976,18.152499133870137,3747,61.78070898598516,TRUE,13985,2209,0.24863973619126134,0.2153933047037798,0.0052786966119753665,0.20285799124280904,0.22830083986784927,63.28306192233929,66.14319150124727
3,All participants,All participants,4744,2884,54.67242833052276,55.16942139257436,54.67242833052276,17.460783767384992,2996,63.153456998313665,TRUE,18729,5093,0.6079258010118044,0.6356600783855474,0.006987044490403838,0.6193135724674055,0.6518022976790441,64.7100690819847,67.92021420458316
4,All participants,All participants,3202,2033,51.44472204871955,51.955918932577234,51.44472204871955,14.753210017196382,1910,59.65021861336665,TRUE,21931,7126,0.6349156777014366,0.6672308781160798,0.008327198451018047,0.6475461650539505,0.6865373827185121,60.22968491817643,64.20277516003274
5,All participants,All participants,2096,1244,51.62356870229008,52.2266061354063,51.62356870229008,14.077996096180044,1217,58.06297709923665,TRUE,24027,8370,0.5935114503816794,0.618799216729067,0.010608552516732301,0.5940241620061882,0.6431740603355441,57.886990265539474,62.824734275170066
6,All participants,All participants,1864,1011,54.322424892703864,55.056366774676846,54.322424892703864,16.156760625926918,1101,59.06652360515021,TRUE,25891,9381,0.5423819742489271,0.5589916648133432,0.011500139565362994,0.5324613483584479,0.5853180649256595,58.91669809651936,64.13366363118675
7,All participants,All participants,4098,2023,51.4526598340654,51.77058897716468,51.4526598340654,10.38101706274345,2323,56.68618838457784,TRUE,29989,11404,0.49365544167886777,0.5019949019521206,0.007810531182725059,0.48410492761037033,0.5198987768886795,56.981547773981575,60.52910056325508
8,All participants,All participants,10477,4610,54.1132957907798,54.25365171383265,54.1132957907798,7.329105036194504,5806,55.4166268970125,TRUE,40466,16014,0.44001145366039895,0.4392460564515136,0.004848658888538223,0.42815554796385624,0.4503880028175398,56.16216509476802,58.388405929135956
9,All participants,All participants,16677,6913,56.10583438268274,56.202952847397164,56.10583438268274,6.398543973005748,9002,53.97853330934821,TRUE,57143,22927,0.41452299574263957,0.40943150747764595,0.003807735757867215,0.4007096393951689,0.4181994268923859,54.70962009391901,56.479096916894036
