"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",79,2021-06-28,1,75
"East of England","35-44",80,2021-07-05,3,597
"East of England","35-44",81,2021-07-12,0,63
"East of England","5-12",79,2021-06-28,0,55
"East of England","5-12",80,2021-07-05,2,367
"East of England","5-12",81,2021-07-12,1,38
"East of England","13-17",79,2021-06-28,0,42
"East of England","13-17",80,2021-07-05,0,241
"East of England","13-17",81,2021-07-12,0,24
"East of England","18-24",79,2021-06-28,0,18
"East of England","18-24",80,2021-07-05,0,123
"East of England","18-24",81,2021-07-12,0,16
"East of England","25-34",79,2021-06-28,1,34
"East of England","25-34",80,2021-07-05,1,340
"East of England","25-34",81,2021-07-12,0,43
"East of England","45-54",79,2021-06-28,0,101
"East of England","45-54",80,2021-07-05,5,876
"East of England","45-54",81,2021-07-12,1,91
"East of England","55-64",79,2021-06-28,1,147
"East of England","55-64",80,2021-07-05,1,971
"East of England","55-64",81,2021-07-12,0,109
"East of England","65+",79,2021-06-28,0,170
"East of England","65+",80,2021-07-05,4,1283
"East of England","65+",81,2021-07-12,2,60
"London","35-44",79,2021-06-28,2,110
"London","35-44",80,2021-07-05,5,1128
"London","35-44",81,2021-07-12,3,158
"London","5-12",79,2021-06-28,1,80
"London","5-12",80,2021-07-05,6,593
"London","5-12",81,2021-07-12,1,67
"London","13-17",79,2021-06-28,0,58
"London","13-17",80,2021-07-05,8,300
"London","13-17",81,2021-07-12,0,20
"London","18-24",79,2021-06-28,0,28
"London","18-24",80,2021-07-05,4,217
"London","18-24",81,2021-07-12,0,25
"London","25-34",79,2021-06-28,1,89
"London","25-34",80,2021-07-05,7,884
"London","25-34",81,2021-07-12,2,129
"London","45-54",79,2021-06-28,1,144
"London","45-54",80,2021-07-05,6,1137
"London","45-54",81,2021-07-12,0,103
"London","55-64",79,2021-06-28,1,139
"London","55-64",80,2021-07-05,3,975
"London","55-64",81,2021-07-12,0,102
"London","65+",79,2021-06-28,0,128
"London","65+",80,2021-07-05,1,1141
"London","65+",81,2021-07-12,0,96
"Midlands","35-44",79,2021-06-28,0,120
"Midlands","35-44",80,2021-07-05,4,856
"Midlands","35-44",81,2021-07-12,1,99
"Midlands","5-12",79,2021-06-28,2,83
"Midlands","5-12",80,2021-07-05,7,517
"Midlands","5-12",81,2021-07-12,0,53
"Midlands","13-17",79,2021-06-28,1,63
"Midlands","13-17",80,2021-07-05,7,277
"Midlands","13-17",81,2021-07-12,0,29
"Midlands","18-24",79,2021-06-28,0,42
"Midlands","18-24",80,2021-07-05,5,210
"Midlands","18-24",81,2021-07-12,1,24
"Midlands","25-34",79,2021-06-28,0,70
"Midlands","25-34",80,2021-07-05,3,545
"Midlands","25-34",81,2021-07-12,0,58
"Midlands","45-54",79,2021-06-28,0,208
"Midlands","45-54",80,2021-07-05,6,1158
"Midlands","45-54",81,2021-07-12,0,107
"Midlands","55-64",79,2021-06-28,0,226
"Midlands","55-64",80,2021-07-05,7,1570
"Midlands","55-64",81,2021-07-12,2,113
"Midlands","65+",79,2021-06-28,2,274
"Midlands","65+",80,2021-07-05,6,2034
"Midlands","65+",81,2021-07-12,0,132
"North East and Yorkshire","35-44",79,2021-06-28,1,105
"North East and Yorkshire","35-44",80,2021-07-05,5,711
"North East and Yorkshire","35-44",81,2021-07-12,2,75
"North East and Yorkshire","5-12",79,2021-06-28,1,85
"North East and Yorkshire","5-12",80,2021-07-05,9,372
"North East and Yorkshire","5-12",81,2021-07-12,2,38
"North East and Yorkshire","13-17",79,2021-06-28,1,48
"North East and Yorkshire","13-17",80,2021-07-05,10,241
"North East and Yorkshire","13-17",81,2021-07-12,2,20
"North East and Yorkshire","18-24",79,2021-06-28,0,16
"North East and Yorkshire","18-24",80,2021-07-05,2,150
"North East and Yorkshire","18-24",81,2021-07-12,0,12
"North East and Yorkshire","25-34",79,2021-06-28,1,63
"North East and Yorkshire","25-34",80,2021-07-05,6,423
"North East and Yorkshire","25-34",81,2021-07-12,0,52
"North East and Yorkshire","45-54",79,2021-06-28,0,156
"North East and Yorkshire","45-54",80,2021-07-05,5,1008
"North East and Yorkshire","45-54",81,2021-07-12,0,86
"North East and Yorkshire","55-64",79,2021-06-28,0,205
"North East and Yorkshire","55-64",80,2021-07-05,4,1237
"North East and Yorkshire","55-64",81,2021-07-12,0,102
"North East and Yorkshire","65+",79,2021-06-28,1,213
"North East and Yorkshire","65+",80,2021-07-05,4,1614
