"nhs_region","age_group","react_week_number","react_week_start_date","number_positive","number_samples"
"East of England","35-44",58,2021-02-01,0,280
"East of England","35-44",59,2021-02-08,3,1102
"East of England","5-12",58,2021-02-01,0,216
"East of England","5-12",59,2021-02-08,5,729
"East of England","13-17",58,2021-02-01,3,218
"East of England","13-17",59,2021-02-08,1,661
"East of England","18-24",58,2021-02-01,1,151
"East of England","18-24",59,2021-02-08,6,338
"East of England","25-34",58,2021-02-01,1,233
"East of England","25-34",59,2021-02-08,2,701
"East of England","45-54",58,2021-02-01,1,381
"East of England","45-54",59,2021-02-08,8,1419
"East of England","55-64",58,2021-02-01,5,540
"East of England","55-64",59,2021-02-08,5,1726
"East of England","(64,101]",58,2021-02-01,0,673
"East of England","(64,101]",59,2021-02-08,6,2609
"London","35-44",58,2021-02-01,1,178
"London","35-44",59,2021-02-08,6,935
"London","5-12",58,2021-02-01,0,81
"London","5-12",59,2021-02-08,2,507
"London","13-17",58,2021-02-01,0,101
"London","13-17",59,2021-02-08,1,395
"London","18-24",58,2021-02-01,0,55
"London","18-24",59,2021-02-08,1,252
"London","25-34",58,2021-02-01,1,120
"London","25-34",59,2021-02-08,4,844
"London","45-54",58,2021-02-01,2,191
"London","45-54",59,2021-02-08,3,871
"London","55-64",58,2021-02-01,3,171
"London","55-64",59,2021-02-08,6,840
"London","(64,101]",58,2021-02-01,2,212
"London","(64,101]",59,2021-02-08,4,1000
"Midlands","35-44",58,2021-02-01,3,441
"Midlands","35-44",59,2021-02-08,11,1573
"Midlands","5-12",58,2021-02-01,2,320
"Midlands","5-12",59,2021-02-08,9,1136
"Midlands","13-17",58,2021-02-01,2,335
"Midlands","13-17",59,2021-02-08,4,1042
"Midlands","18-24",58,2021-02-01,0,220
"Midlands","18-24",59,2021-02-08,7,535
"Midlands","25-34",58,2021-02-01,2,359
"Midlands","25-34",59,2021-02-08,6,1132
"Midlands","45-54",58,2021-02-01,3,547
"Midlands","45-54",59,2021-02-08,13,2295
"Midlands","55-64",58,2021-02-01,6,773
"Midlands","55-64",59,2021-02-08,13,3156
"Midlands","(64,101]",58,2021-02-01,2,1127
"Midlands","(64,101]",59,2021-02-08,6,4474
"North East and Yorkshire","35-44",58,2021-02-01,2,217
"North East and Yorkshire","35-44",59,2021-02-08,2,846
"North East and Yorkshire","5-12",58,2021-02-01,1,170
"North East and Yorkshire","5-12",59,2021-02-08,6,574
"North East and Yorkshire","13-17",58,2021-02-01,1,152
"North East and Yorkshire","13-17",59,2021-02-08,6,536
"North East and Yorkshire","18-24",58,2021-02-01,1,98
"North East and Yorkshire","18-24",59,2021-02-08,2,307
"North East and Yorkshire","25-34",58,2021-02-01,1,172
"North East and Yorkshire","25-34",59,2021-02-08,2,581
"North East and Yorkshire","45-54",58,2021-02-01,3,300
"North East and Yorkshire","45-54",59,2021-02-08,8,1199
"North East and Yorkshire","55-64",58,2021-02-01,2,397
"North East and Yorkshire","55-64",59,2021-02-08,9,1741
"North East and Yorkshire","(64,101]",58,2021-02-01,6,643
"North East and Yorkshire","(64,101]",59,2021-02-08,6,2549
"North West","35-44",58,2021-02-01,3,180
"North West","35-44",59,2021-02-08,4,761
"North West","5-12",58,2021-02-01,5,142
"North West","5-12",59,2021-02-08,10,465
"North West","13-17",58,2021-02-01,3,166
"North West","13-17",59,2021-02-08,4,517
"North West","18-24",58,2021-02-01,1,93
"North West","18-24",59,2021-02-08,2,257
"North West","25-34",58,2021-02-01,3,163
"North West","25-34",59,2021-02-08,7,514
"North West","45-54",58,2021-02-01,4,267
"North West","45-54",59,2021-02-08,2,1088
"North West","55-64",58,2021-02-01,4,367
"North West","55-64",59,2021-02-08,9,1515
"North West","(64,101]",58,2021-02-01,2,552
"North West","(64,101]",59,2021-02-08,8,2227
"South East","35-44",58,2021-02-01,1,411
"South East","35-44",59,2021-02-08,5,1679
"South East","5-12",58,2021-02-01,4,289
"South East","5-12",59,2021-02-08,1,1194
"South East","13-17",58,2021-02-01,1,359
"South East","13-17",59,2021-02-08,3,1071
"South East","18-24",58,2021-02-01,0,160
"South East","18-24",59,2021-02-08,2,565
"South East","25-34",58,2021-02-01,1,273
"South East","25-34",59,2021-02-08,4,999
"South East","45-54",58,2021-02-01,1,560
"South East","45-54",59,2021-02-08,8,2364
"South East","55-64",58,2021-02-01,3,696
"South East","55-64",59,2021-02-08,7,2914
"South East","(64,101]",58,2021-02-01,3,1127
"South East","(64,101]",59,2021-02-08,11,4171
"South West","35-44",58,2021-02-01,1,176
"South West","35-44",59,2021-02-08,0,674
"South West","5-12",58,2021-02-01,2,135
"South West","5-12",59,2021-02-08,0,490
"South West","13-17",58,2021-02-01,0,117
"South West","13-17",59,2021-02-08,1,435
"South West","18-24",58,2021-02-01,0,92
"South West","18-24",59,2021-02-08,0,216
"South West","25-34",58,2021-02-01,0,152
"South West","25-34",59,2021-02-08,1,436
"South West","45-54",58,2021-02-01,2,225
"South West","45-54",59,2021-02-08,3,991
"South West","55-64",58,2021-02-01,2,362
"South West","55-64",59,2021-02-08,4,1371
"South West","(64,101]",58,2021-02-01,1,594
"South West","(64,101]",59,2021-02-08,5,2186
