"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Walsall","E08000030","West Midlands",12,283,0.0424028268551237,0.024419963908964,0.072642221366345
"Salford","E08000006","North West",8,229,0.0349344978165939,0.0178061903033791,0.0674082681577044
"Wakefield","E08000036","Yorkshire and The Humber",8,264,0.0303030303030303,0.0154334159748455,0.0586457012314902
"Newham","E09000025","London",3,105,0.0285714285714286,0.00976383903870233,0.0806562906373156
"Oldham","E08000004","North West",7,247,0.0283400809716599,0.0137943846602414,0.0573320507566708
"Leicester","E06000016","East Midlands",7,248,0.0282258064516129,0.0137384933531934,0.0571055166213393
"Nottingham","E06000018","East Midlands",8,288,0.0277777777777778,0.0141412650391763,0.0538458499542579
"Islington","E09000019","London",6,249,0.0240963855421687,0.0110893184762221,0.0515644049067311
"South Staffordshire","E07000196","West Midlands",8,341,0.0234604105571848,0.0119346682042173,0.0456032475920704
"Boston","E07000136","East Midlands",8,346,0.023121387283237,0.0117615308018936,0.0449540422682026
"Chorley","E07000118","North West",7,311,0.022508038585209,0.0109447547002058,0.0457233184548454
"Southwark","E09000028","London",5,226,0.0221238938053097,0.0094861571092953,0.050735610067584
"East Lindsey","E07000137","East Midlands",8,367,0.0217983651226158,0.011086060227827,0.0424178249197279
"Mansfield","E07000174","East Midlands",8,367,0.0217983651226158,0.011086060227827,0.0424178249197279
"Gloucester","E07000081","South West",4,194,0.0206185567010309,0.00804666212366038,0.05180661075089
"Kingston upon Hull, City of","E06000010","Yorkshire and The Humber",7,343,0.0204081632653061,0.0099201177627121,0.0415196924645813
"Stafford","E07000197","West Midlands",7,344,0.0203488372093023,0.00989118023762766,0.0414007470708162
"Spelthorne","E07000213","South East",7,345,0.0202898550724638,0.00986241104881019,0.0412824811925237
"Stockport","E08000007","North West",7,345,0.0202898550724638,0.00986241104881019,0.0412824811925237
"Dartford","E07000107","South East",6,300,0.02,0.00919763155770362,0.0429396208178606
"Dudley","E08000027","West Midlands",7,352,0.0198863636363636,0.00966561921716469,0.0404731669709964
"Burnley","E07000117","North West",5,253,0.0197628458498024,0.00847032774430103,0.0454207336297005
"Tamworth","E07000199","West Midlands",6,305,0.019672131147541,0.00904633965906372,0.0422468347780228
"South Kesteven","E07000141","East Midlands",8,413,0.0193704600484262,0.00984727546604248,0.0377522576438083
"Hartlepool","E06000001","North East",4,207,0.0193236714975845,0.00753962604256751,0.0486232315231471
