"ltla","ltla_code","region","positive","number_samples","prevalence","lower","upper"
"Blackburn with Darwen","E06000008","North West",4,243,0.0164609053497942,0.00641946634590492,0.0415524540813511
"Gravesham","E07000109","South East",2,190,0.0105263157894737,0.00289145799240438,0.0375614918997421
"Reigate and Banstead","E07000211","South East",3,292,0.0102739726027397,0.00350011193647387,0.029765877421221
"Bolton","E08000001","North West",5,523,0.00956022944550669,0.00409027668142943,0.0221822548153846
"Worcester","E07000237","West Midlands",2,218,0.00917431192660551,0.00251954333541264,0.0328275863777582
"Trafford","E08000009","North West",4,478,0.00836820083682008,0.00325890417201951,0.021316521217228
"Boston","E07000136","East Midlands",1,122,0.00819672131147541,0.0014483909512207,0.0449708009068247
"Copeland","E07000029","North West",1,127,0.0078740157480315,0.00139131204144462,0.0432540081295823
"Luton","E06000032","East of England",3,398,0.00753768844221105,0.0025667390768226,0.0219241605172023
"Tamworth","E07000199","West Midlands",1,133,0.0075187969924812,0.0013284876076292,0.0413592977392684
"Ribble Valley","E07000124","North West",1,136,0.00735294117647059,0.00129915603609581,0.0404728539955221
"Wellingborough","E07000156","East Midlands",1,139,0.00719424460431655,0.00127109170515931,0.0396236097976221
"Islington","E09000019","London",3,463,0.00647948164146868,0.00220600524913324,0.0188749391159088
"Wyre Forest","E07000239","West Midlands",1,174,0.00574712643678161,0.00101523035741215,0.0318312097214655
"Uttlesford","E07000077","East of England",1,176,0.00568181818181818,0.00100368553241055,0.0314774723663262
"Three Rivers","E07000102","East of England",1,178,0.00561797752808989,0.000992400322275245,0.0311315105755917
"Wokingham","E06000041","South East",2,369,0.00542005420054201,0.0014876349319275,0.0195439822211027
"Bedford","E06000055","East of England",2,374,0.0053475935828877,0.00146773010811949,0.0192855743205915
"Hertsmere","E07000098","East of England",1,190,0.00526315789473684,0.000929681565663634,0.0292055581102694
"Newcastle upon Tyne","E08000021","North East",3,576,0.00520833333333333,0.00177285125442094,0.0151998206216296
"Lambeth","E09000022","London",3,576,0.00520833333333333,0.00177285125442094,0.0151998206216296
"North East Derbyshire","E07000038","East Midlands",1,197,0.0050761421319797,0.000896626436587597,0.0281882988322994
"West Lindsey","E07000142","East Midlands",1,197,0.0050761421319797,0.000896626436587597,0.0281882988322994
"Babergh","E07000200","East of England",1,199,0.0050251256281407,0.000887609510040955,0.0279105408023062
"South Staffordshire","E07000196","West Midlands",1,201,0.00497512437810945,0.000878772135400657,0.0276382031601492
"Surrey Heath","E07000214","South East",1,203,0.00492610837438424,0.000870109002473557,0.0273711287745136
"Fenland","E07000010","East of England",1,205,0.0048780487804878,0.000861615008418935,0.0271091665293094
"Harborough","E07000131","East Midlands",1,206,0.00485436893203883,0.000857429898050419,0.0269800568098815
"Wyre","E07000128","North West",1,216,0.00462962962962963,0.000817711322629948,0.025753522565781
"Kirklees","E08000034","Yorkshire and The Humber",4,874,0.0045766590389016,0.00178116947362313,0.011708121447544
"Stoke-on-Trent","E06000021","West Midlands",2,438,0.0045662100456621,0.00125311393501555,0.0164941088847342
"Knowsley","E08000011","North West",1,219,0.0045662100456621,0.000806503467090419,0.0254070155594313
"Lichfield","E07000194","West Midlands",1,220,0.00454545454545455,0.000802835479877505,0.0252935760225751
"Newark and Sherwood","E07000175","East Midlands",1,224,0.00446428571428571,0.00078849121093856,0.0248497699331459
"Lewes","E07000063","South East",1,227,0.00440528634361234,0.000778064940923822,0.0245270030938068
"Dover","E07000108","South East",1,230,0.00434782608695652,0.00076791080699693,0.0242125133237525
"Bristol, City of","E06000023","South West",4,931,0.00429645542427497,0.00167203790726672,0.0109947717522366
"Broxtowe","E07000172","East Midlands",1,241,0.004149377593361,0.000732842938392459,0.0231252848837099
"Mendip","E07000187","South West",1,241,0.004149377593361,0.000732842938392459,0.0231252848837099
"Bracknell Forest","E06000036","South East",1,245,0.00408163265306122,0.000720872112495908,0.0227537484285421
"Worthing","E07000229","South East",1,248,0.00403225806451613,0.000712147534246496,0.0224828373107751
"Thanet","E07000114","South East",1,258,0.00387596899224806,0.000684531678349369,0.021624612362489
"Swale","E07000113","South East",1,275,0.00363636363636364,0.000642196135620717,0.0203068364989073
"Wychavon","E07000238","West Midlands",1,282,0.00354609929078014,0.00062624810303104,0.0198097615814788
"King's Lynn and West Norfolk","E07000146","East of England",1,286,0.0034965034965035,0.000617485599454537,0.0195364939052783
"Cambridge","E07000008","East of England",1,298,0.00335570469798658,0.000592610084900471,0.0187601284140351
"East Hertfordshire","E07000242","East of England",1,298,0.00335570469798658,0.000592610084900471,0.0187601284140351
"Breckland","E07000143","East of England",1,311,0.00321543408360129,0.000567828748916184,0.0179858231194704
"Dacorum","E07000096","East of England",1,316,0.00316455696202532,0.000558840599657769,0.0177047667582892
"Barking and Dagenham","E09000002","London",1,325,0.00307692307692308,0.000543359123626046,0.0172203950016689
"St Albans","E07000240","East of England",1,326,0.00306748466257669,0.000541691745419,0.0171682069482731
"Reading","E06000038","South East",1,330,0.00303030303030303,0.000535123323708782,0.0169625800512084
"South Oxfordshire","E07000179","South East",1,334,0.0029940119760479,0.000528712287752466,0.0167618204996827
"Harrogate","E07000165","Yorkshire and The Humber",1,348,0.0028735632183908,0.000507434693162812,0.0160950965726908
"West Berkshire","E06000037","South East",1,354,0.00282485875706215,0.000498831100124547,0.0158253221713977
"South Somerset","E07000189","South West",1,355,0.0028169014084507,0.000497425452525213,0.0157812365501643
"Maidstone","E07000110","South East",1,362,0.00276243093922652,0.000487803441899075,0.0154793831080461
"Stockton-on-Tees","E06000004","North East",1,363,0.00275482093663912,0.000486459172896594,0.0154372012537983
"Guildford","E07000209","South East",1,366,0.00273224043715847,0.000482470455181916,0.0153120238649537
"South Cambridgeshire","E07000012","East of England",1,379,0.00263852242744063,0.000465915936218923,0.0147922508221258
"Kingston upon Thames","E09000021","London",1,379,0.00263852242744063,0.000465915936218923,0.0147922508221258
"Charnwood","E07000130","East Midlands",1,383,0.00261096605744125,0.000461048402150198,0.0146393465723236
"Gateshead","E08000037","North East",1,388,0.00257731958762887,0.000455105162963198,0.0144526048028859
"Sheffield","E08000019","Yorkshire and The Humber",3,1199,0.00250208507089241,0.000851291606484516,0.00733055043805477
"Warrington","E06000007","North West",1,412,0.00242718446601942,0.00042858622483337,0.0136187356493737
"Calderdale","E08000033","Yorkshire and The Humber",1,414,0.00241545893719807,0.000426515141506669,0.0135535691641075
"Northampton","E07000154","East Midlands",1,417,0.00239808153477218,0.000423445777266973,0.0134569804456232
"Barnsley","E08000016","Yorkshire and The Humber",1,423,0.00236406619385343,0.000417437698227983,0.0132678749629022
"Bexley","E09000004","London",1,431,0.00232018561484919,0.00040968721155175,0.0130238497757824
"Richmond upon Thames","E09000027","London",1,442,0.00226244343891403,0.000399488523436712,0.0127026102274186
"Manchester","E08000003","North West",2,951,0.00210304942166141,0.000576921585774241,0.00763539339935319
"Waltham Forest","E09000031","London",1,477,0.00209643605870021,0.000370168349551442,0.0117782408891627
"Rotherham","E08000018","Yorkshire and The Humber",1,493,0.00202839756592292,0.000358151759155476,0.0113990370120059
"Derby","E06000015","East Midlands",1,496,0.00201612903225806,0.000355984978653889,0.0113306382848029
"Greenwich","E09000011","London",1,508,0.00196850393700787,0.000347573837910778,0.0110650593515794
"Doncaster","E08000017","Yorkshire and The Humber",1,517,0.00193423597678917,0.000341521782464436,0.0108739041821286
"Hounslow","E09000018","London",1,524,0.00190839694656489,0.000336958392051792,0.0107297335531871
